uid,entertainment,education,dining,park,shopping,metro_station,library,financial
7022,94,90,630,28,486,8,10,148
7682,36,20,287,19,224,0,1,29
7684,60,42,280,22,142,4,2,87
7237,4,7,51,3,79,0,1,7
7322,22,15,188,10,166,0,1,18
7685,62,30,431,25,289,2,5,58
7687,10,9,70,4,99,1,1,7
7688,3,7,30,10,47,0,3,2
7689,4,7,77,3,76,1,1,10
7211,20,13,142,16,91,0,1,12
7533,32,11,188,23,112,1,1,25
7675,11,8,113,5,130,0,2,5
7683,65,42,296,21,138,4,2,86
7692,2,8,28,4,45,0,1,3
7693,61,83,412,29,408,5,9,119
7695,6,7,29,7,40,0,1,3
7696,4,8,27,4,40,0,1,4
7698,1,7,25,2,42,0,2,1
7701,7,10,56,6,83,0,3,4
7216,24,15,216,12,174,0,1,20
7702,13,18,74,18,63,0,2,11
7691,17,17,89,6,71,0,2,6
7050,62,81,377,30,382,6,9,118
7037,19,33,415,11,315,0,4,36
7703,9,20,84,15,96,0,4,11
7704,3,14,62,1,54,1,2,9
7705,9,14,96,11,81,0,3,12
7706,7,17,63,3,45,1,2,8
7686,51,50,258,24,335,4,2,78
7707,17,10,85,16,26,0,1,11
7708,3,9,23,2,30,0,1,8
7699,3,12,51,2,56,0,3,5
7709,2,26,63,3,60,2,2,13
7627,13,12,89,7,70,1,3,6
7460,4,6,21,7,25,0,1,2
7700,2,13,47,2,49,0,3,5
7527,2,7,28,2,44,0,2,2
7710,70,126,169,11,224,0,14,33
7001,31,66,320,25,320,2,16,57
7256,56,39,552,18,346,3,3,64
7042,21,32,183,15,158,1,4,36
7202,88,90,530,30,433,8,11,138
7228,4,5,43,5,61,0,3,2
7711,15,11,118,3,123,1,2,6
7650,3,8,28,5,24,1,1,3
7712,10,17,182,9,172,0,1,11
7679,1,4,23,0,13,0,1,2
7640,3,12,26,5,23,1,1,3
7260,71,51,569,29,334,4,9,93
7099,18,13,69,15,86,0,2,9
7453,30,53,286,18,238,3,11,52
7713,93,93,531,29,411,8,11,140
7345,8,0,1,1,1,0,0,1
7728,4,8,51,3,75,0,1,5
7719,40,34,528,14,346,1,3,54
7715,56,77,15,5,100,0,0,27
7717,45,24,322,23,243,1,1,36
7716,59,65,302,31,336,4,7,105
7720,38,26,367,23,280,1,2,40
7721,82,60,594,34,461,6,8,130
7724,14,19,98,13,94,0,3,18
7725,55,101,114,9,226,0,5,36
7130,62,122,192,12,289,0,9,37
7680,21,7,50,8,32,0,0,4
7243,25,10,80,7,60,0,0,7
7729,4,8,33,2,47,0,3,10
7730,22,11,135,10,75,0,1,11
7548,76,145,302,25,358,1,21,69
7731,1,4,26,3,28,0,1,5
7505,40,41,176,20,173,0,3,30
7738,0,1,9,1,11,0,1,1
7732,0,3,11,0,6,0,1,1
7735,0,2,7,1,4,0,1,0
7737,0,3,5,1,2,0,0,0
7736,0,2,3,1,4,0,1,0
7733,1,5,16,1,19,0,1,4
7734,0,2,11,0,5,0,1,0
7743,32,56,11,1,86,0,1,20
7740,0,1,8,1,11,0,0,1
7742,33,56,11,1,88,0,1,18
7251,69,139,259,20,324,1,19,56
7746,33,54,27,1,84,1,1,17
7745,31,56,13,1,74,0,1,18
7744,0,5,19,0,31,0,1,0
7747,33,57,12,1,90,0,1,18
7094,10,8,79,5,74,0,1,7
7748,3,5,17,1,13,0,0,1
7749,0,4,23,1,10,0,1,4
7750,2,5,17,1,35,0,0,7
7543,22,40,451,13,331,0,8,38
7752,1,0,2,9,3,0,0,0
7751,0,5,31,0,12,0,1,8
7753,1,1,18,4,12,0,2,4
7741,4,10,38,6,53,0,3,3
7025,19,31,217,19,236,0,9,33
7754,33,55,16,1,101,0,1,16
7755,0,3,11,0,6,0,1,1
7756,0,1,9,0,13,0,2,0
7758,0,1,9,0,11,0,2,0
7760,1,5,29,2,16,0,2,4
7759,0,2,10,0,3,0,0,0
7506,32,30,144,19,132,0,3,19
7739,0,1,7,1,9,0,0,1
7761,52,60,287,24,372,1,5,74
7241,25,51,264,22,276,1,11,51
7398,67,45,336,21,182,4,2,90
7718,47,31,463,20,328,3,4,54
7762,38,71,437,26,220,4,22,61
7521,4,11,58,5,104,0,1,8
7757,62,32,383,25,234,2,3,77
7311,22,35,184,15,174,1,7,39
1405,58,82,444,33,371,5,22,94
7694,0,3,10,1,5,0,1,2
