uid,name,longitude,latitude,free_bikes,empty_slots
7149,Yarmouth Rd / Christie St,-79.42083333333333,43.67,3,8
7144,Palmerston Ave / Vermont Ave,-79.416389,43.671389,1,14
7146,Christie St / Benson Ave (Wychwood Barns),-79.42500000000001,43.68,3,16
7147,King St W / Fraser Ave,-79.42527777777778,43.6394444,9,6
7140,Macpherson Ave / Spadina Rd,-79.40698,43.675791,3,12
7141,Bridgeman Ave / Kendal Ave,-79.410278,43.675556,7,7
7142,Bridgeman Ave / Bathurst St,-79.414722,43.674444,7,7
7143,Kendal Ave / Bernard Ave,-79.408317,43.671513,3,11
7351,Pretoria Av / Broadview Av,-79.35822,43.6783213,3,16
7350,Broadview Ave / Westwood Ave,-79.356602,43.6848652,4,19
7353,Fulton Ave / Pape Ave,-79.347046,43.68395,4,15
7352,Cosburn Ave / Donlands Ave,-79.341307,43.690537,3,16
7355,Beltline Trail / Chaplin Cres.,-79.423122,43.704461,8,7
7357,Lake Shore Blvd E / Leslie St,-79.329196,43.659195,16,3
7356,King St E / Berkeley St,-79.3649,43.651885,15,2
7359,Rosedale Park (20 Schofield Ave),-79.377557,43.682645,12,11
7210,Mary McCormick Rec Centre (Sheridan Ave),-79.43305555555555,43.6475,8,6
7217,Soho St / Queen St W,-79.393535,43.6494896,3,4
7326,Davenport Rd / Lansdowne Ave,-79.44874,43.671526,10,8
7320,Front St W / University Ave (1),-79.3831757,43.6451635,15,3
7321,Front St W / University Ave (2),-79.3827914,43.6452972,10,8
7323,457 King St W,-79.3960744,43.6452091,16,3
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),-79.43361111111112,43.6555556,17,2
7328,Roxborough St W / Yonge St,-79.390328,43.678077,12,5
7329,Crawford St / Queen St W,-79.415345,43.645665,14,4
7368,Lisgar St / Dundas St W - SMART,-79.42668,43.6493472,3,4
7369,Dupont St / Emerson Ave SMART,-79.443946,43.667266,3,13
7100,Dundas St E / Regent Park Blvd,-79.361275,43.660207,1,24
7101,Lower Sherbourne St / The Esplanade,-79.367061,43.648655,15,12
7102,Nelson St / Duncan St,-79.389728,43.648711,27,4
7103,Jimmie Simpson Park (Queen St E),-79.3437663,43.6605603,13,1
7105,Queen St E / Sackville St,-79.36138888888888,43.6561111,10,4
7106,Mill St / Tannery Rd,-79.354455,43.652219,14,25
7107,Cherry St / Distillery Ln,-79.356832,43.650279,4,11
7108,Front St E / Cherry St,-79.358395,43.652686,3,12
7069,Queen St W / Spadina Ave,-79.395504,43.649147,6,3
7067,Yonge St / Harbour St,-79.375413,43.643795,12,26
7066,Willcocks St / St. George St,-79.397735,43.662085,8,8
7065,Dundas St E / Parliament St,-79.365769,43.659575,14,0
7064,51 Parliament St,-79.362198,43.65205,15,4
7063,Queen's Park / Bloor St W,-79.393899,43.668456,5,14
7366,Fort York Blvd / Bathurst St SMART,-79.399792,43.639052,13,7
7367,Alma Ave / Gladstone Ave SMART,-79.42822,43.6448617,3,12
7199,College St / Markham St,-79.4091666666667,43.6563888888889,2,16
7198,Queen St W / Cowan Ave,-79.432837,43.6409,5,14
7193,Queen St W / Gladstone Ave,-79.4275,43.6430555555556,8,14
7192,Harbord St / Clinton St,-79.415646,43.660414,1,14
7191,Central Tech  (Harbord St),-79.407896,43.661975,1,8
7196,Roxton Rd / Harbord St,-79.422988,43.65905,1,10
7195,Ulster St / Bathurst St,-79.4088888888889,43.66,4,7
7194,Mortimer Ave / Coxwell Ave,-79.326319,43.690564,1,22
7392,Woodbine Subway Green P SMART,-79.311073,43.686829,4,16
7083,Danforth Ave / Barrington Ave,-79.300463,43.688325,3,12
7441,Pacific Ave / Glenlake Ave,-79.46478,43.65716,19,8
7086,High Park - West Rd,-79.4654233,43.6525077,15,7
7388,Broadview Ave / Danforth Ave,-79.35858,43.6772,2,13
7089,Church St  / Wood St,-79.379903,43.662712,7,11
7389,College Park - Gerrard Entrance,-79.383518,43.658938,7,18
7088,Danforth Ave / Coxwell Ave,-79.322961,43.683378,9,5
7383,12 Harbour St,-79.3762,43.6425636,10,4
7247,Howard Park Ave / Dundas St W - SMART,-79.4486,43.6521,10,2
7246,Yonge St / Bloor St,-79.386532,43.669969,1,12
7244,Dufferin Gate - SMART,-79.425679,43.633473,14,2
7242,Lake Shore Blvd W / Ontario Dr,-79.420317,43.630254,12,21
7240,Bloor St W / Shaw Ave - SMART,-79.423098,43.662403,5,28
7360,Concord Av / Dewson St,-79.424911,43.656945,0,16
7361,Hocken Ave / Vaughan Rd,-79.4184725,43.6817346,2,17
7362,St Clair Ave W / Bathurst St.,-79.418734,43.683296,11,8
7364,Queen St E / Nursewood Rd,-79.281455,43.673831,13,5
7365,Kew Beach Ave / Kenilworth Ave,-79.3014,43.666325,20,3
7249,Dovercourt Rd / Harrison St (Green P) - SMART,-79.423742,43.651145,1,10
7248,Baldwin Ave / Spadina Ave - SMART,-79.398448,43.654905,5,15
7432,Frederick St / King St E,-79.369411,43.651118,9,13
7023,College St / Borden St,-79.4056,43.6571,8,3
7020,Phoebe St / Spadina Ave,-79.396555,43.650033,23,10
7027,Beverley  St / Dundas St W,-79.393388,43.652823,23,6
7026,Bay St / St. Joseph St,-79.387499,43.665527,5,8
7028,Gould St / Mutual St,-79.3768,43.6582,27,4
7097,Riverdale Park North (Broadview Ave),-79.354704,43.671172,1,14
7095,Danforth Ave / Ellerbeck St,-79.35667,43.677076,3,11
7092,Pape Subway Green P,-79.344062,43.680223,7,8
7093,Danforth Ave / Gough Ave,-79.346289,43.678401,6,11
7090,Danforth Ave / Lamb Ave,-79.329455,43.681991,3,16
7158,King St W / Stafford St,-79.41111111111111,43.6422222,6,7
7155,Bathurst St / Lennox St,-79.410491,43.663808,4,15
7154,Bathurst Subway Station,-79.41166666666668,43.6666667,17,4
7153,Bloor St W / Christie St,-79.41888888888889,43.6638889,6,11
7152,Ossington Ave / Bloor St W,-79.425734,43.661705,0,11
7151,Essex St / Christie St - SMART,-79.42027777777778,43.6686111,8,11
7296,Westmoreland Ave / Fernbank Ave,-79.43235,43.665327,5,14
7297,Havelock St / Dufferin Park,-79.43112,43.657343,14,5
7298,Bathurst St / Adelaide St W,-79.40345,43.645324,10,13
7299,Mill St / Parliament St,-79.36163,43.650256,7,8
7209,Ossington Ave / Harrison St,-79.4213888888889,43.651111111111106,10,8
7208,80 Clinton St (North of College),-79.414663,43.656296,7,7
7207,Dundas St W / Crawford St,-79.416944,43.649722,8,15
7206,Claremont St / Dundas St W,-79.411717,43.651281,11,1
7205,Rusholme Park Cres / College St,-79.42972222,43.65277778,12,2
7204,College St / Crawford St,-79.418889,43.655,15,4
7337,Gerrard Square Mall (1010 Gerrard St E),-79.338673,43.668553,14,5
7336,Queen St E / Alton Av,-79.327987,43.663912,14,5
7334,Simcoe St / Wellington St W North,-79.3855048,43.6462176,9,5
7331,Coxwell Ave / Plains Rd,-79.328535,43.69595,2,17
7339,Carlaw Ave / Strathcona Ave,-79.3462789,43.6753188,3,12
7338,Logan Ave / Bain Ave,-79.3470557,43.6720273,9,1
7112,Liberty St / Fraser Ave Green P,-79.424146,43.637981,16,3
7111,King St W / Douro St,-79.416379,43.640885,4,7
7110,Queen St E / Berkeley St,-79.36583333333333,43.6552778,7,7
7115,Howard St / Sherbourne St,-79.376367,43.6712581,7,7
7114,Carlton St / Parliament St,-79.36793,43.664524,0,14
7119,Sumach St / Carlton St. (Riverdale Farm),-79.362506,43.665867,13,2
7118,King St W / Bay St (East Side),-79.380042,43.648575,17,2
7059,Front St W / Blue Jays Way,-79.390477,43.643473,1,13
7053,Metro Hall Plaza,-79.38783,43.645859,22,5
7056,Parliament St / Gerrard St,-79.3656796,43.662132,12,11
7054,Navy Wharf Ct. / Bremner Blvd.,-79.391051,43.640722,3,8
7055,Jarvis St / Carlton St,-79.37617,43.66207,4,11
7319,Lake Shore Blvd E / Knox Ave,-79.3244,43.660206,5,5
7318,Hubbard Blvd. / Glen Manor Dr.,-79.291162,43.668633,6,9
7272,Yonge St / Dundonald St - SMART,-79.384796,43.665801,8,4
7273,Bay St / Charles St W - SMART,-79.38891,43.668153,8,12
7270,Church St / Dundas St E - SMART,-79.377257,43.657024,3,11
