name,full_address,rate,reviews
Otoro Sushi,"103-2323 Bloor Street W,Toronto, ON M6S 4W1,Canada",4.5,28
Coffee Lunar,"920 Yonge Street,Toronto, ON M4W 3C7,Canada",4.5,27
Le Génie Bakery and Espresso,"382 Yonge St,Toronto, ON M5G 2K2,Canada",4.5,27
Bar Vendetta,"928 Dundas Street W,Toronto, ON M6J 1W3,Canada",4.5,27
El Sazón de la Tia Flor,"1549 O'Connor Drive,Toronto, ON M4B 2V7,Canada",4.5,27
Hot Pot Restaurant,"1545 Eglinton Avenue  W,Toronto, ON M6E 2G8,Canada",4.5,27
Donna's,"827 Lansdowne Avenue,Toronto, ON M6H 3Z2,Canada",4.5,26
Elm Street Italian Deli,"15 Elm Street,Toronto, ON M5G 1H1,Canada",4.5,26
Levant,"899 Bloor Street W,Toronto, ON M6H 1L2,Canada",4.5,26
Bistro Camino,"2750 Danforth Avenue,Toronto, ON M4C 1L7,Canada",4.5,26
Quarry Cafe,"2560 Gerrard Street E,Scarborough, ON M1N 1W8,Canada",4.5,26
Tsuchi Cafe,"688 College St,Toronto, ON M6G 1C1,Canada",4.5,26
Little Tibet  Restaurant,"1449A Queen Street W,Toronto, ON M6R 1A1,Canada",4.5,26
Tiflisi,"1970 Queen Street E,Toronto, ON M4L 1H8,Canada",4.5,26
Wazema Ethiopian Restaurant,"1360 Danforth Ave,Toronto, ON M4J,Canada",4.5,26
Dine & Dim,"633 Gerrard St E,Toronto, ON M4M 1Y2,Canada",4.5,25
Pape Village,"942 Pape Ave,Toronto, ON M4K 3V5,Canada",4.5,25
Abyssinia Ethiopian Restaurant,"884 Danforth Avenue,Toronto, ON M4J 1L7,Canada",4.5,25
Sunnyside Grill,"Unit 2 2777 Steeles Avenue W,Toronto, ON M3J 3K5,Canada",4.5,25
Mercado Negro,"682 Caledonia Road,Toronto, ON M6E 2T5,Canada",4.5,25
Bar Volo,"17 St Nicholas Street,Toronto, ON M4Y 3G4,Canada",4.5,24
Steam Whistle Biergarten,"255 Bremner Boulevard,Bay 7,Toronto, ON M5V 3M9,Canada",4.5,24
Oak Park Deli,"213 Oak Park Avenue,East York, ON M4C 4N2,Canada",4.5,24
Darna,"1613 Bayview Avenue,East York, ON M4G 3B5,Canada",4.5,24
Northern Smokes,"371 Old Kingston Road,Unit 12A,Toronto, ON M1C 1B7,Canada",4.5,24
Spice Club  Indian Cuisine,"4532 Kingston Road,Toronto, ON M1E 2N9,Canada",4.5,24
Atomic 10,"145 Lauder Ave,Toronto, ON M6H 3E5,Canada",4.5,23
Bocconcini Toronto,"96 Gerrard Street E,Toronto, ON M5B 1G7,Canada",4.5,23
Pisac Peruvian Bistro,"16 Dupont St,Toronto, ON M5R 1V2,Canada",4.5,23
Scooped by Demetres,"113 Fort York Boulevard,Toronto, ON M5V 0J9,Canada",4.5,23
La Latina,"150 Eglinton Ave E,Toronto, ON M4P 1E8,Canada",4.5,23
Courage Foods,"976 Kingston Road,Toronto, ON M4E 1S9,Canada",4.5,23
Extra Burger,"1265 Dundas Street W,Toronto, ON M6J 1X6,Canada",4.5,23
Akropolis Pies and Pastries,"708 Danforth Ave,Toronto, ON M4J 1L1,Canada",4.5,23
Blooming Orchid,"525 Eglinton Ave West,Toronto, ON M5N 1B1,Canada",4.5,23
Planta Cocina,"10 Temperance St,Toronto, ON M5H 1Y4,Canada",4.5,22
Pastiche,"59 Ossington Ave,Toronto, ON M6J 2Y9,Canada",4.5,22
Sakai Bar,"1576 Dundas Street West,Toronto, ON M6K 1T8,Canada",4.5,22
The Shozan Room,"164 Ossington Ave,Toronto, ON M6J 2Z7,Canada",4.5,22
Chadani Indian Cuisine,"3466 Dundas Street W,Toronto, ON M6S 1S1,Canada",4.5,22
Rosa's Pasta Express,"271 Old Kingston Rd,Toronto, ON M1C 1B4,Canada",4.5,22
Sandra's Italian Kitchen,"2899 Steeles Avenue W,Unit 12,Toronto, ON M3J 3A1,Canada",4.5,22
The MoMo House,"1240 Bay Street,Toronto, ON M5R 2A7,Canada",4.5,21
Thairoomgrand,"288 Eglinton Avenue W,Toronto, ON M4R 1B2,Canada",4.5,21
Cafe Tibet Bar & Grill,"390 Roncesvalles Avenue,Toronto, ON M6R 2M9,Canada",4.5,21
Tsampa Cafe,"1528 Queen W,Toronto, ON M6R 1A4,Canada",4.5,21
NaiNai Noodles,"852 King Street W,Toronto, ON M5V 1P1,Canada",4.5,21
Velvet Lane Cakes,"194a Carlton St,Toronto, ON M5A 2K8,Canada",4.5,21
Harry's Steak House,"3277 Bloor Street W,Toronto, ON M8X 1E2,Canada",4.5,20
Mugi,"793 Bathurst Street,Toronto, ON M5S 1Z5,Canada",4.5,19
Aburi Hana,"102 Yorkville Avenue,Unit 4,Toronto, ON M5R 1B9,Canada",4.5,19
Amano Trattoria,"9 Church Street,Toronto, ON M5E 1W1,Canada",4.5,19
South Pacific,"1002 Dovercourt Road,Toronto, ON M6H 2X8,Canada",4.5,19
Mineral,"1027 Yonge Street,Toronto, ON M4W 2K9,Canada",4.5,18
Gerry's Fast Foods,"724 St Clair Avenue W,Toronto, ON M6C 1B3,Canada",4.5,18
Megumi Mazesoba,"46 Saint Clair Avenue E,Toronto, ON M4T 1M9,Canada",4.5,18
Hirut,"2050 Danforth Ave,Toronto, ON M4C 1J6,Canada",4.5,18
Detroit Pizzeria,"1093 Bathurst Street,Toronto, ON M5R 3G8,Canada",4.5,17
Padaria Toronto,"5 Manor Road E,Toronto, ON M4S 1P7,Canada",4.5,17
Pizzeria Da Mario,"253 Augusta Avenue,Toronto, ON M5T 2L8,Canada",4.5,17
Kibo Sushi House,"1415 Bloor Street W,Toronto, ON M6P 3L4,Canada",4.5,16
Conzo's Pizza,"1279 Bloor Street W,Toronto, ON M6H 1N7,Canada",4.5,16
The Chef Upstairs,"516 Mt Pleasant Rd,Toronto, ON M4S 2M2,Canada",4.5,16
Aafrien,"55 Eglinton Avenue E,Toronto, ON M4P 1G8,Canada",4.5,16
Little Vietnam,"500 Queen Street W,Toronto, ON M5V 2B6,Canada",4.5,16
Chamsine Halal Kitchen Dundas Street East,"235 Queen St E,Toronto, ON M5A 1S5,Canada",4.5,16
Thai Barn Na,"256 Brown's Line,Etobicoke, ON M8W 3S2,Canada",4.5,16
Bullseye Burgers N’ Fries,"940 Pape Avenue,East York, ON M4K 3V2,Canada",4.5,15
Yaowarat,"557 Mt Pleasant Road,Toronto, ON M4S 2M5,Canada",4.5,15
Frisaca,"592 Queen Street W,Toronto, ON M6J 1E3,Canada",4.5,15
Decó,"2840 Dundas Street W,Toronto, ON M6P 1Y7,Canada",4.5,15
Nuna Kitchen & Bar,"1265 Queen Street W,Toronto, ON M6K 1L4,Canada",4.5,15
Star Sushi,"7 Mercer Street,Toronto, ON M5V 1H2,Canada",4.5,15
Soulpepper Theatre Company,"50 Tank House Lane,Toronto, ON M5A 3C4,Canada",4.5,15
Tapi Go!,"835 Bloor Street W,Toronto, ON M6G 1M1,Canada",4.5,15
Not Just Butter Chicken,"1307 Danforth Avenue,Toronto, ON M4J 1M8,Canada",4.5,15
Leela Indian Food Bar,"1386 Gerrard Street E,Toronto, ON M4L 1Z2,Canada",4.5,14
Happy Burger,"881 Yonge Street,Toronto, ON M4W 2H2,Canada",4.5,14
Church's Texas Chicken,"3003 Danforth Avenue,East York, ON M4C 1M9,Canada",4.5,14
Huong Viet,"1750 Saint Clair Avenue W,Toronto, ON M6N 1J3,Canada",4.5,14
Manita,"210 Ossington Ave,Toronto, ON M6J 2Z9,Canada",4.5,14
Blue Nile Restaurant,"1260 Danforth Avenue,Toronto, ON M4J 1M6,Canada",4.5,14
Marron Bistro,"948 Eglinton Avenue W,Toronto, ON M6C 2C2,Canada",4.5,14
District 3 Viet Cafe,"532 College Street,Toronto, ON M6G 1A6,Canada",4.5,14
Sushi Karu,"378 Oakwood Avenue,Toronto, ON M6E 2W3,Canada",4.5,14
Caribbean Queen Jerk,"2079 Lawrence Avenue W,Toronto, ON M9N 3P1,Canada",4.5,14
Toast On Bloor,"3317 Bloor Street W,Toronto, ON M8X 1E7,Canada",4.5,14
Completo,"337 Broadview Ave,Toronto, ON M4M 2H1,Canada",4.5,13
Urban House,"718 Queen Street E,Toronto, ON M4M 1H2,Canada",4.5,13
Sansotei Ramen,"65 Front Street W,Toronto, ON M5J 1E3,Canada",4.5,13
Pita Land,"720 Spadina Avenue,Toronto, ON M5S 2T9,Canada",4.5,13
Alimentari Italian Grocery,"325 Roncesvalles Avenue,Toronto, ON M6R 2M6,Canada",4.5,13
Chiang Mai Thai Kitchen,"353 Danforth Avenue,Toronto, ON M4K 1N7,Canada",4.5,13
Le Gourmand Bakery,"2897 Lake Shore Blvd W,Toronto, ON M8V 1J3,Canada",4.5,13
Le Conciliabule,"1300 Gerrard Street E,Toronto, ON M4L 1Y7,Canada",4.5,12
Brown Donkatsu,"138 Dundas Street W,Toronto, ON M5G 1C3,Canada",4.5,12
Maezo Indian Cuisine,"102-250 Dundas Street W,Toronto, ON M5T 2Z6,Canada",4.5,12
The Butcher Chef,"8 Harbour St,Toronto, ON M5J 3B1,Canada",4.5,12
Motorino Citta,"466 Adelaide Street E,Toronto, ON M5A 1N4,Canada",4.5,12
Tenon Vegan Sushi,"487 Bloor Street W,Toronto, ON M5S 1Y2,Canada",4.5,12
Chatime,"143-171 East Liberty Street,Liberty Village,Toronto, ON M6K 3P6,Canada",4.5,12
Kanto by Tita Flips,"2986 Dundas Street W,Toronto, ON M6P 1Z3,Canada",4.5,12
Boukan,"452 Kingston Road,Toronto, ON M4L 1V3,Canada",4.5,12
North of Brooklyn Pizzeria,"663 Greenwood Avenue,Toronto, ON M4J 1M6,Canada",4.5,12
Coast Cafe Bar,"23 St John's Rd,Toronto, ON M6P 2A1,Canada",4.5,12
Masaki Saito,"88 Avenue Road,Toronto, ON M5R 2H2,Canada",4.5,11
Impact Kitchen,"88 Queens Quay W,Toronto, ON M5J 0B6,Canada",4.5,11
Captain Cookes Fish and Chips,"219 Parliament Street,Toronto, ON M5A 2Z4,Canada",4.5,11
Salto Restaurant,"1138 Davenport Road,Toronto, ON M6G 2C6,Canada",4.5,11
Galata Restaurant,"940 Danforth Ave,Toronto, ON M4J 1L9,Canada",4.5,11
Piccolo Caffe E Vino,"111 John St,Toronto, ON M5V 2E2,Canada",4.5,11
cannoli CRUNCH,"850 King Street W,Toronto, ON M5V 1P1,Canada",4.5,11
Our Spot,"1779b Danforth Ave,Toronto, ON M4C 1J2,Canada",4.5,11
Ethica Coffee Roasters,"213 Sterling Road,Unit 104,Toronto, ON M6R 2B2,Canada",4.5,10
FreePlay Toronto,"300 College Street,Toronto, ON M5T 1R9,Canada",4.5,10
Sunny’s Chinese,"6-14 60 Kensington Avenue,Kensington Mall,Toronto, ON M5T 2K1,Canada",4.5,10
Pompette,"597 College Street,Toronto, ON M6G 1B5,Canada",4.5,10
Isle of Coffee,"380A Eglinton Avenue W,Toronto, ON M5N 1A2,Canada",4.5,10
Kyo Sushi,"2875 Lake Shore Boulevard W,Toronto, ON M8V 1J2,Canada",4.5,10
Qinthai Cuisine,"325 Weston Road,Unit 10B,York, ON M6N 4Z9,Canada",4.5,10
Three Kingdoms Pizza,"5 Baldwin Street,Toronto, ON M5T 1L1,Canada",4.5,9
Kupfert & Kim,"100 Bloor Street W,Toronto, ON M5S 3L7,Canada",4.5,9
Maker Pizza,"105A - 388 Carlaw Avenue,Toronto, ON M4M 3P1,Canada",4.5,9
Pastor Taco,"245 Gerrard Street E,Toronto, ON M5A 2G1,Canada",4.5,9
Bawara,"1570 Bloor St W,Toronto, ON M5G 1S4,Canada",4.5,9
Playa Cabana Taqueria,"21 St Clair Avenue E,Toronto, ON M4T 1L9,Canada",4.5,9
Domaine Mamo,"581 Mt Pleasant Road,Toronto, ON M4S 2M5,Canada",4.5,9
Season Six,"188 Ossington Ave,Toronto, ON M6J 2Z7,Canada",4.5,9
Benny’s Barbecue,"2409 Yonge Street,Unit 106,Toronto, ON M4P 2E7,Canada",4.5,9
Rollian,"2584 Yonge St,Toronto, ON M4P 2J3,Canada",4.5,9
Atai Bistro,"3047 Dundas Street W,Toronto, ON M6P 1Z5,Canada",4.5,9
Elite Grande Restaurant & Banquet Hall,"1126 Finch Avenue W,Toronto, ON M3J 3J6,Canada",4.5,9
PHO NON LA,"1881 Steeles Avenue W,Unit 5,Toronto, ON M3H 5Y4,Canada",4.5,9
Kupfert & Kim,"2313 Yonge Street,Toronto, ON M4P 2C6,Canada",4.5,8
Dear Grain,"48 Ossington Avenue,Toronto, ON M6J 2Y7,Canada",4.5,8
Varsity,"916 Bloor St W,Toronto, ON M6H 1L1,Canada",4.5,8
The Wood Owl,"1380 Danforth Avenue,Toronto, ON M4J 1M9,Canada",4.5,8
Three Brothers Restaurant,"657 The Queensway,Etobicoke, ON M8Y 1K8,Canada",4.5,8
The Hungry Moon,"4190 Kingston Rd,Unit 6,Scarborough, ON M1E 2M6,Canada",4.5,8
Ration Beverley,"335 Queen Street,Toronto, ON M5V 2A1,Canada",4.5,7
Think It Pensa Italiano,"196 Borden Street,Toronto, ON M5S 2N3,Canada",4.5,7
Bar Mignonette,"794 Dundas Street W,2nd Floor,Toronto, ON M6J 1V1,Canada",4.5,7
The Commoner Bar Room,"614 College Street,Toronto, ON M6G 1B4,Canada",4.5,7
Simon's Sushi,"883 Eglinton Ave W,Toronto, ON M6C 2C1,Canada",4.5,7
Hay Sushi,"530 Eglinton Avenue W,Toronto, ON M5N 2K5,Canada",4.5,7
The Ivy at Verity Hotel,"111D Queen Street East,Toronto, ON M5C,Canada",4.5,7
Sushi Momo,"3226 Lake Shore Boulevard W,Toronto, ON M8V 1M1,Canada",4.5,7
Rain Sushi,"1353 St Clair Avenue W,Toronto, ON M6E 1C5,Canada",4.5,6
University Club of Toronto,"380 University Avenue,Toronto, ON M5G 1R6,Canada",4.5,6
The Bullger Burger&Steak,"348 Queen Street E,Toronto, ON M5A 1T1,Canada",4.5,6
Bbq Chicken and Pub,"497 Danforth Avenue,Toronto, ON M4K 1P5,Canada",4.5,6
Farm Boy,"29 Bathurst St,Unit 1,Toronto, ON M5V 2P1,Canada",4.5,6
Masala Guys,"384 Bloor Street W,Toronto, ON M5S 1X2,Canada",4.5,6
Vantage Venues,"150 King Street W,27th Floor,Toronto, ON M5H 1J9,Canada",4.5,6
Foodies On Foot,"75 Portland Street,Suite 104,Toronto, ON M5V 2M9,Canada",4.5,6
Orote,"276 Havelock Street,Toronto, ON M6H 3B9,Canada",4.5,6
Mannat Indian & Hakka Bar,"839 College St,Toronto, ON M6H 1A1,Canada",4.5,6
JJ Fried Chicken,"2539 Eglinton Avenue W,Toronto, ON M6M 1T2,Canada",4.5,6
Mr Sub,"702 The Queensway,Etobicoke, ON M8Y 1K9,Canada",4.5,6
Hotel Delilah,"1036 Gerrard Street E,Toronto, ON M4M 1Z5,Canada",4.5,5
Komi Banh Mi Bar,"467 Danforth Ave,Toronto, ON M4K 1P1,Canada",4.5,5
RCYC - City Clubhouse,"141 St. George Street,Toronto, ON M5R 2L8,Canada",4.5,5
Vua,"717 Bay Street,Unit D,Toronto, ON M5G 2J9,Canada",4.5,5
Black Dog Cafe,"878 Kingston Road,Toronto, ON M4E 1S3,Canada",4.5,5
Nile River,"598 College Street,Toronto, ON M6G 1B4,Canada",4.5,5
Venga Cucina,"3076 Dundas St W,Toronto, ON M6P 1Z8,Canada",4.5,5
Two Brothers,"2324 Lake Shore Boulevard W,Toronto, ON M8V 1B6,Canada",4.5,5
Royal Noodles,"885 Jane Street,Toronto, ON M6N 4C4,Canada",4.5,5
Momo Zone,"979 O'Connor Drive,Toronto, ON M4B 2T1,Canada",4.5,5
Dakota's Sports Bar and Grill,"2814 Lake Shore Boulevard,Unit 2,Toronto, ON M8V 1H7,Canada",4.5,5
Mattachioni,"1501 Gerrard St E,Toronto, ON M4L 2A4,Canada",4.5,4
T Wok Restaurant,"440 Spadina Avenue,Toronto, ON M5T 2G8,Canada",4.5,4
Birria Catrina,"131 Roncesvalles Avenue,Toronto, ON M6R 2L2,Canada",4.5,4
Season Six,"216 Ossington Avenue,Toronto, ON M6J 2Z9,Canada",4.5,4
Lodge On Queen,"251 Queen Street W,2nd and 3rd Floor,Toronto, ON M5V 1Z4,Canada",4.5,3
L’Avenue,"583 Parliament Street,Toronto, ON M4X 1P9,Canada",4.5,3
Sen-Ryo Sushi,"2352 Yonge Street,Toronto, ON M4P 2E6,Canada",4.5,3
Oliver Bonacini Restaurants,"2433 Yonge Street,Toronto, ON M4P 2E7,Canada",4.5,3
Peter Pantry,"371 Queen St W,Toronto, ON M5V 0M2,Canada",4.5,3
Bosphorus Turkish Cuisine,"17-4205 Keele Street,North York, ON M3J 3T8,Canada",4.5,3
Mimino,"2180 Steeles Avenue W,Unit 6,Vaughan, ON L4K 2Y7,Canada",4.5,3
Brunchin,"335 Yonge Street,Toronto, ON M5B 2L3,Canada",4.5,2
Pizza Saint Tropez,"78 Gerrard Street W,Toronto, ON M5G 1J5,Canada",4.5,2
Shop Dine Tour Toronto,"341 Av Eastern,Toronto, ON M4M 1B7,Canada",4.5,2
San Francesco Foods,"915 Danforth Ave,Toronto, ON M4J 1L8,Canada",4.5,2
The Edible Story,"320 Richmond Street E,Toronto, ON M5A 1P9,Canada",4.5,2
SunRise Caribean Restaurant,"60 Weston Road,Toronto, ON M6N 3P4,Canada",4.5,2
Cafe Paradise,"1014 Bloor Street W,Toronto, ON M6H 1M2,Canada",4.5,2
Saporito Caffe,"2389 Yonge Street,Toronto, ON M4P 2E7,Canada",4.5,2
Grill Gate,"341 Danforth Avenue,Toronto, ON M4K 1N7,Canada",4.5,2
Runner Market,"141 Berkeley St,Toronto, ON M5A 2X1,Canada",4.5,2
Pho Long Son,"3406 Dundas Street W,Toronto, ON M5G 1S4,Canada",4.5,2
KINKA IZAKAYA ORIGINAL,"398 Church Street,Toronto, ON M5B 2A2,Canada",4.0,1790
Khao San Road,"11 Charlotte Street,Toronto, ON M5V 2H5,Canada",4.0,1691
Gusto 101,"101 Portland Street,Toronto, ON M5V 2N3,Canada",4.0,1099
Insomnia Restaurant & Lounge,"563 Bloor Street W,Toronto, ON M5S 1Y6,Canada",4.0,1010
Mildred's Temple Kitchen,"85 Hanna Avenue,Suite 104,Toronto, ON M6K 3S3,Canada",4.0,998
Hokkaido Ramen Santouka,"91 Dundas Street E,Toronto, ON M5B 2C8,Canada",4.0,885
Miku,"105-10 Bay Street,Toronto, ON M5J 2R8,Canada",4.0,883
CN Tower,"301 Front St W,Toronto, ON M5V 2T6,Canada",4.0,849
Wvrst,"609 King Street W,Toronto, ON M5V 1M5,Canada",4.0,827
Eggspectation,"483 Bay Street,South Tower,Toronto, ON M5G 2C9,Canada",4.0,754
Lee Restaurant,"601 King Street W,Toronto, ON M5V 1M5,Canada",4.0,710
Beerbistro,"18 King Street E,Toronto, ON M5C 1C4,Canada",4.0,679
Lady Marmalade,"265 Broadview Avenue,Toronto, ON M4M 1J3,Canada",4.0,626
Pearl Diver,"100 Adelaide Street E,Toronto, ON M5C 1K9,Canada",4.0,620
Tinuno,"31 Howard Street,Toronto, ON M4X 1J6,Canada",4.0,619
Wilbur Mexicana,"552 King Street W,Toronto, ON M5V 1M3,Canada",4.0,606
Tsujiri,"147 Dundas Street,Toronto, ON M5G 1P5,Canada",4.0,590
JaBistro,"222 Richmond Street W,Toronto, ON M5V 1V6,Canada",4.0,581
Maha's,"226 Greenwood Avenue,Toronto, ON M4L 2R2,Canada",4.0,577
GB Hand-pulled Noodles,"66 Edward Street,Toronto, ON M5G 1C9,Canada",4.0,572
Pizzeria Libretto,"221 Ossington Avenue,Toronto, ON M6J 2Z8,Canada",4.0,565
Barque Smokehouse,"299 Roncesvalles Avenue,Toronto, ON M6R 2M3,Canada",4.0,518
Manpuku Japanese Eatery,"105 McCaul Street,Unit 29-31,Toronto, ON M5T 2X4,Canada",4.0,514
Banh Mi Boys,"399 Yonge Street,Toronto, ON M5B,Canada",4.0,509
KINKA IZAKAYA ANNEX,"559 Bloor St W,Toronto, ON M5S 1Y6,Canada",4.0,501
The Senator,"249 Victoria Street,Toronto, ON M5B 1T8,Canada",4.0,488
PLANTA,"1221 Bay Street,Toronto, ON M5R 3P5,Canada",4.0,488
Cafe Landwer - Adelaide & University,"165 University Avenue,Toronto, ON M5H 3B8,Canada",4.0,485
Buk Chang Dong Soon Tofu,"691 Bloor Street W,Toronto, ON M6G 1L3,Canada",4.0,479
Grazie Ristorante,"2373 Yonge Street,Toronto, ON M4P 2C8,Canada",4.0,478
Playa Cabana,"111 Dupont Street,Toronto, ON M5R 1V4,Canada",4.0,468
Bar Isabel,"797 College Street,Toronto, ON M6G 1C7,Canada",4.0,455
Le Sélect Bistro,"432 Wellington Street W,Toronto, ON M5V 1E3,Canada",4.0,454
Buca,"604 King Street W,Toronto, ON M5V 1M6,Canada",4.0,453
Swatow Restaurant,"309 Spadina Avenue,Toronto, ON M5T 1H1,Canada",4.0,446
Pho Tien Thanh,"57 Ossington Avenue,Toronto, ON M6J 2Y9,Canada",4.0,443
Emma's Country Kitchen,"810 Saint Clair Avenue W,Toronto, ON M6C 1B6,Canada",4.0,439
Rodney's Oyster House,"469 King Street W,Toronto, ON M5V 1K4,Canada",4.0,431
Nadege,"780 Queen Street W,Toronto, ON M6J 1G2,Canada",4.0,431
Wow Sushi,"11 Charles Street,Toronto, ON M4Y 1R4,Canada",4.0,424
Beast Bodega,"96 Tecumseth Street,Toronto, ON M6J 2H1,Canada",4.0,413
Smoque N' Bones,"869 Queen Street W,Toronto, ON M6J 1G4,Canada",4.0,411
The Carbon Bar,"99 Queen Street East,Toronto, ON M5C 1S2,Canada",4.0,408
Korean Village Restaurant,"628 Bloor Street W,Toronto, ON M6G 1K7,Canada",4.0,407
Fuwa Fuwa Japanese Pancakes,"408 Bloor Street W,Toronto, ON M5S 2N5,Canada",4.0,398
Trattoria Nervosa,"75 Yorkville Avenue,Toronto, ON M5R 1B8,Canada",4.0,386
King Taps,"100 King Street W,Toronto, ON M5X 1A9,Canada",4.0,386
RYUS Noodle Bar,"786 Broadview Avenue,Toronto, ON M4K 2P7,Canada",4.0,386
Good Fork,"1550 Dundas Street W,Toronto, ON M6K 1T5,Canada",4.0,385
Dineen Coffee,"140 Yonge St,Toronto, ON M5C 2L7,Canada",4.0,383
The Keg Steakhouse + Bar,"515 Jarvis Street,Toronto, ON M4Y 2H7,Canada",4.0,369
Lamesa Filipino Kitchen,"634 St Clair Avenue W,Toronto, ON M6C 1A9,Canada",4.0,366
Rasta Pasta,"61 Kensington Avenue,Toronto, ON M5T,Canada",4.0,366
Hair of the Dog,"425 Church Street,Toronto, ON M4Y 2C3,Canada",4.0,363
El Trompo Taco Bar,"277 Augusta Ave,Toronto, ON M5T 2M1,Canada",4.0,353
Evviva Breakfast & Lunch,"25 Lower Simcoe,Toronto, ON M5J 3A1,Canada",4.0,350
Pantheon Restaurant,"407 Danforth Avenue,Toronto, ON M4K 1P1,Canada",4.0,341
416 Snack Bar,"181 Bathurst Street,Toronto, ON M5T 2R7,Canada",4.0,340
Bar Hop,"391 King Street W,Toronto, ON M5V 1K1,Canada",4.0,332
Estiatorio Volos,"133 Richmond St W,Toronto, ON M5H 2L3,Canada",4.0,331
La Vecchia Ristorante,"2405A Yonge Street,Toronto, ON M4P 2E7,Canada",4.0,330
Zakkushi On Carlton,"193 Carlton Street,Toronto, ON M5A 2K9,Canada",4.0,326
Oddseoul,"90 Ossington Avenue,Toronto, ON M6J 2Z4,Canada",4.0,326
Tacos El Asador,"689 Bloor Street W,Toronto, ON M6G 1L2,Canada",4.0,323
STACK,"3265 Yonge Street,Toronto, ON M4N 2L5,Canada",4.0,323
Pizzeria Libretto Danforth,"550 Danforth Avenue,Toronto, ON M4K 1P8,Canada",4.0,321
Bar Raval,"505 College Street,Toronto, ON M6G 2J3,Canada",4.0,318
Enoteca Sociale,"1288 Dundas St W,Toronto, ON M6J 1X7,Canada",4.0,318
The House On Parliament,"454 Parliament Street,Toronto, ON M5A 3A2,Canada",4.0,316
DaiLo,"503 College Street,Toronto, ON M6G 1A5,Canada",4.0,315
Bakerbots Baking ,"205 Delaware Avenue,Toronto, ON M6H 2T4,Canada",4.0,313
Barberian's Steak House,"7 Elm Street,Toronto, ON M5G 1H1,Canada",4.0,312
Chef's Hall,"111 Richmond Street W,Toronto, ON M5H 2G4,Canada",4.0,312
Gyubee Japanese Grill - Bloor,"335 Bloor Street W,Toronto, ON M5S 1W7,Canada",4.0,311
Chubby's Jamaican Kitchen,"104 Portland Street,Toronto, ON M5V 2N2,Canada",4.0,311
Okonomi House Restaurant,"23 Charles Street W,Toronto, ON M4Y 2R4,Canada",4.0,310
LOCAL Public Eatery - Liberty Village,"171 E Liberty Street,Unit 100,Toronto, ON M6K 3P6,Canada",4.0,303
Yummy Yummy Dumplings,"79 Huron Street,Toronto, ON M5T 2A8,Canada",4.0,301
Mengrai Thai,"82 Ontario Street,Toronto, ON M5A 2V3,Canada",4.0,298
Tabule Restaurant,"2009 Yonge Street,Toronto, ON M4S 1Z8,Canada",4.0,282
Raku,"456 Queen St W,Toronto, ON M5V 2A8,Canada",4.0,280
The Shameful Tiki Room,"1378 Queen Street W,Toronto, ON M6K 1L7,Canada",4.0,273
Otto's Berlin Döner,"256 Augusta Avenue,Toronto, ON M5T 2L9,Canada",4.0,272
Yummy Korean Food Restaurant,"620 Bloor Street W,Toronto, ON M6G 1K7,Canada",4.0,270
Indie Ale House,"2876 Dundas Street W,Toronto, ON M6P 1Y9,Canada",4.0,255
La Palette,"492 Queen Street W,Toronto, ON M5V 2B3,Canada",4.0,254
Karine's,"109 McCaul Street,Unit 32,Toronto, ON M5T 3K5,Canada",4.0,253
Mezes,"456 Danforth Avenue,Toronto, ON M4K 1P4,Canada",4.0,253
Woody's Burger Bar and Grill,"3795 Lake Shore Boulevard W,Etobicoke, ON M8W 1R2,Canada",4.0,251
Levetto,"68 Sudbury Street,Toronto, ON M6J 3S7,Canada",4.0,246
Light Cafe,"23 Baldwin Street,Ground Unit,Toronto, ON M5T 1L1,Canada",4.0,244
Koh Lipe,"35 Baldwin Street,Toronto, ON M5T 1L1,Canada",4.0,242
Como En Casa,"565 Yonge Street,Toronto, ON M4Y 1Z2,Canada",4.0,241
Pho Linh,"1156 College Street W,Toronto, ON M6H 1B6,Canada",4.0,239
Union,"72A Ossington Avenue,Toronto, ON M6J 2Y7,Canada",4.0,239
Mangia & Bevi,"260 King Street E,Toronto, ON M5A 4L5,Canada",4.0,234
Kintaro Izakaya,"459 Church Street,Main Floor,Toronto, ON M4Y 4C5,Canada",4.0,233
Gio Rana's Really Really Nice Restaurant,"1220 Queen Street East,Toronto, ON M4M 1L7,Canada",4.0,229
Mamakas Taverna,"80 Ossington Avenue,Toronto, ON M6J 2Y7,Canada",4.0,229
The Distillery District,"55 Mill Street,Toronto, ON M5A 3C4,Canada",4.0,229
Hanmoto,"2 Lakeview Avenue,Toronto, ON M6J 1X4,Canada",4.0,228
KINTON RAMEN,"396 Church Street,Toronto, ON M5B 2A2,Canada",4.0,226
La Cubana,"92 Ossington Avenue,Toronto, ON M6J 2Z4,Canada",4.0,225
Indian Roti House,"256 Queens Quay W,Toronto, ON M5J 1B5,Canada",4.0,224
Chadwick's,"268 Howland Avenue,Toronto, ON M5R 3B6,Canada",4.0,218
Ricarda's,"134 Peter Street,Toronto, ON M5V 2H2,Canada",4.0,217
Sunrise House,"661 Bloor Street W,Toronto, ON M6G 1L1,Canada",4.0,216
The Wren,"1382 Danforth Avenue,Toronto, ON M4J 1M9,Canada",4.0,216
The Good Son,"1096 Queen Street W,Toronto, ON M6J 1H9,Canada",4.0,213
